,gpu,gpu_point
0,GeForce RTX 3090 Ti,29555
1,Radeon RX 6950 XT,28326
2,GeForce RTX 3080 Ti,27259
3,GeForce RTX 3090,26623
4,GeForce RTX 3080 12GB,26605
5,Radeon RX 6900 XT,25958
6,GeForce RTX 3080,25178
7,Radeon RX 6800 XT,23921
8,GeForce RTX 3070 Ti,23604
9,RTX A5000,23480
10,RTX A5500,22734
11,GeForce RTX 3070,22286
12,RTX A6000,22086
13,GeForce RTX 2080 Ti,21834
14,Radeon RX 6850M XT,21286
15,RTX A4500,21156
16,Radeon RX 6800,21028
17,GeForce RTX 3080 Ti Laptop GPU,20647
18,GeForce RTX 3060 Ti,20390
19,TITAN RTX,19963
20,TITAN V,19773
21,Quadro GV100,19592
22,Radeon RX 6750 XT,19586
23,Quadro RTX 6000,19579
24,GeForce RTX 2080 SUPER,19528
25,Radeon RX 6700,19476
26,TITAN Xp,19459
27,Radeon PRO W6800,19206
28,Quadro RTX 8000,19126
29,Radeon RX 6700 XT,19062
30,RTX A4000,18986
31,GeForce RTX 2080,18748
32,A10G,18724
33,TITAN Xp COLLECTORS EDITION,18711
34,GeForce RTX 3070 Ti Laptop GPU,18439
35,GeForce GTX 1080 Ti,18397
36,NVIDIA TITAN Xp,18280
37,RTX A4500 Laptop GPU,18190
38,GeForce RTX 2070 SUPER,18183
39,RTX A5500 Laptop GPU,17227
40,Radeon RX 6650 XT,17088
41,GeForce RTX 3060,17056
42,TITAN V CEO Edition,16988
43,Radeon RX 5700 XT,16905
44,Tesla P40,16864
45,Radeon Pro VII,16853
46,Radeon VII,16832
47,GeForce RTX 3080 Laptop GPU,16619
48,Radeon RX 5700 XT 50th Anniversary,16613
49,GeForce RTX 2060 SUPER,16533
50,Quadro RTX 5000,16158
51,GeForce RTX 2070,16097
52,RTX A5000 Laptop GPU,16003
53,GeForce RTX 2060 12GB,15986
54,Radeon RX 6600 XT,15950
55,Miracast display port driver V3,15910
56,RTX A4000 Laptop GPU,15892
57,Quadro GP100,15608
58,Quadro RTX 4000,15486
59,GeForce GTX 1080,15324
60,GeForce RTX 3070 Laptop GPU,15319
61,RTX A3000 12GB Laptop GPU,15188
62,GeForce RTX 2080 (Mobile),15107
63,Radeon Pro W5700,14987
64,Quadro P6000,14924
65,Quadro RTX 5000 (Mobile),14832
66,Radeon Pro Vega II,14738
67,Quadro RTX 5000 with Max-Q Design,14700
68,Radeon RX Vega 64,14650
69,Radeon Pro Vega 64X,14631
70,Radeon RX 5700,14621
71,GeForce GTX 1070 Ti,14596
72,Radeon RX 6600,14356
73,Radeon PRO W6600,14318
74,RTX A2000 12GB,13995
75,GeForce RTX 2060,13956
76,Radeon Pro WX 8200,13883
77,GeForce GTX 980 Ti,13854
78,Radeon RX 5600 XT,13830
79,NVIDIA TITAN X,13660
80,Radeon RX Vega 56,13629
81,Radeon RX 6800S,13624
82,GeForce GTX 1070,13493
83,Radeon Vega Frontier Edition,13457
84,Radeon Pro WX 9100,13324
85,GeForce GTX TITAN X,13250
86,RTX A2000,13235
87,GeForce RTX 3060 Laptop GPU,12982
88,Radeon RX 6700M,12901
89,Quadro RTX 4000 (Mobile),12876
90,RTX A3000 Laptop GPU,12867
91,Radeon RX 6700S,12862
92,Quadro P5200,12793
93,GeForce GTX 1660 SUPER,12758
94,GeForce RTX 3050,12733
95,Tesla T10,12650
96,Radeon Pro 5700 XT,12622
97,Radeon Pro Vega 56,12398
98,GeForce RTX 2070 (Mobile),12354
99,GeForce RTX 2080 with Max-Q Design,12322
100,Radeon Pro Vega 64,12294
101,RadeonT RX 6850M,12274
102,Radeon Pro V520 MxGPU,12258
103,Quadro M6000 24GB,12243
104,Quadro P5000,11998
105,Radeon RX 6650M,11911
106,GeForce GTX 1660 Ti,11849
107,Radeon Pro 5700,11844
108,Quadro M6000,11749
109,GeForce GTX 1660,11737
110,Tesla M40 24GB,11658
111,Radeon RX 6600M,11618
112,Quadro P4000,11423
113,GeForce RTX 2060 (Mobile),11355
114,Radeon Pro Vega 48,11353
115,GeForce GTX 980,11229
116,Quadro RTX 4000 with Max-Q Design,11186
117,GeForce RTX 2070 with Max-Q Design,11178
118,Radeon RX 5600,11177
119,Quadro RTX 3000,11122
120,RTX A2000 8GB Laptop GPU,11026
121,GeForce RTX 3050 OEM,10766
122,Tesla T4,10731
123,Radeon RX 6800M,10546
124,Radeon Pro SSG,10498
125,Radeon Instinct MI25 MxGPU,10466
126,GeForce GTX 1070 (Mobile),10465
127,Quadro P4200 with Max-Q Design,10323
128,RTX A2000 Laptop GPU,10204
129,GeForce GTX 1660 Ti (Mobile),10176
130,GeForce GTX 1080 with Max-Q Design,10175
131,Radeon R9 Fury X,10133
132,GeForce GTX 1060,10064
133,GeForce GTX 1650 SUPER,10063
134,Quadro P4200,9978
135,GeForce RTX 3050 Ti Laptop GPU,9796
136,Quadro P5200 with Max-Q Design,9796
137,Radeon R9 Fury + Fury X,9741
138,GeForce GTX 1060 3GB,9726
139,Radeon RX 590,9663
140,GeForce GTX 970,9657
141,Tesla M40,9626
142,Radeon R9 Fury,9578
143,RTX A1000 Laptop GPU,9505
144,Radeon R9 390X,9462
145,Radeon Ryzen 9 4900HSS,9461
146,Quadro P2200,9458
147,GeForce GTX 1070 with Max-Q Design,9442
148,GeForce GTX 780 Ti,9342
149,Radeon Pro W5500,9292
150,Quadro M5000,9292
151,Radeon RX 6500 XT,9256
152,Radeon RX 5500 XT,9189
153,GeForce GTX TITAN Z,9189
154,Radeon Pro 5600M,9153
155,GeForce GTX TITAN Black,9139
156,GeForce RTX 3050 Laptop GPU,9100
157,Quadro P4000 with Max-Q Design,9083
158,GeForce GTX 1060 5GB,9055
159,Radeon R9 390,9045
160,Radeon RX 580,8923
161,Radeon Ryzen 7 4800HS,8842
162,Radeon RX 5500,8834
163,Radeon R9 290X,8826
164,Quadro P3200,8705
165,Radeon RX 480,8689
166,Quadro P3200 with Max-Q Design,8657
167,GeForce GTX 1660 Ti with Max-Q Design,8620
168,Radeon Ryzen 9 5900HS,8607
169,Radeon R9 295X2,8599
170,Radeon RX590 GME,8592
171,Radeon Ryzen 9 4900HS,8572
172,Ryzen 7 6800HS with Radeon Graphics,8473
173,Radeon R9 290X / 390X,8389
174,Radeon R9 290,8380
175,Radeon Pro Duo,8324
176,Radeon Pro 5500 XT,8298
177,15FF,8229
178,GeForce GTX 1060 (Mobile),8161
179,GeForce GTX Titan,8158
180,Radeon R9 290 / 390,8150
181,Quadro K6000,8113
182,Radeon RX 470/570,8097
183,GeForce GTX 780,8052
184,Radeon Ryzen 5 4600HS,7942
185,Radeon RX 580 2048SP,7933
186,Radeon Pro WX 7100,7921
187,Quadro M5500,7915
188,T1200 Laptop GPU,7907
189,Radeon RX 6500M,7889
190,GeForce GTX 1060 with Max-Q Design,7856
191,T1000 8GB,7835
192,GeForce GTX 1650,7819
193,T1000,7799
194,Radeon RX 580X,7798
195,Tesla M60,7771
196,Radeon Pro 580,7753
197,FirePro W9100,7719
198,Radeon RX 5600M,7597
199,Radeon Pro 580X,7540
200,Tesla M6,7509
201,GeForce GTX 1650 Ti,7505
202,Radeon Pro 5300,7492
203,Quadro RTX 3000 with Max-Q Design,7429
204,Ryzen 7 5800HS with Radeon Graphics,7391
205,GeForce GTX 980M,7337
206,A40,7331
207,RadeonT RX 5300,7321
208,FirePro W8100,7313
209,Radeon RX 5300,7266
210,Tesla P100-PCIE-16GB,7225
211,Quadro T2000,7193
212,Quadro P2000,7116
213,Radeon RX 6400,7048
214,Tesla K80,7025
215,Ryzen 7 4800HS with Radeon Graphics,6999
216,GeForce GTX 1650 (Mobile),6969
217,Quadro M5000M,6932
218,T600 Laptop GPU,6867
219,Radeon Pro 5500M,6806
220,Radeon RX Vega M GH,6756
221,GeForce GTX 970XM FORCE,6707
222,Radeon R9 285,6680
223,Quadro M4000,6624
224,Quadro P3000,6540
225,Quadro T1000,6540
226,T600,6525
227,Quadro M4000M,6457
228,GeForce MX570 A,6434
229,GeForce RTX 2050,6345
230,Radeon Pro 570,6337
231,GeForce GTX 1050 Ti,6303
232,Radeon R9 280X,6271
233,Radeon R9 380,6258
234,Radeon R9 380X,6206
235,GeForce MX570,6194
236,Radeon PRO W6400,6176
237,FirePro W9000,6138
238,Radeon Pro WX Vega M GL,6049
239,GeForce GTX 960,6032
240,Ryzen 9 6900HS with Radeon Graphics,6001
241,GRID P100-16Q,5945
242,Quadro K5200,5941
243,GeForce GTX 1650 with Max-Q Design,5924
244,GeForce GTX 1050 Ti (Mobile),5919
245,GeForce GTX 770,5878
246,Radeon Pro 5300M,5855
247,A16,5797
248,GeForce GTX 1050 Ti with Max-Q Design,5781
249,GeForce GTX 970M,5756
250,Radeon Pro WX 7130,5722
251,Radeon R9 280,5659
252,Quadro M3000M,5645
253,Radeon HD 7990,5566
254,GeForce GTX 690,5565
255,GeForce GTX 680,5550
256,Radeon R9 285 / 380,5550
257,GRID M60-8A,5523
258,Radeon Pro WX 5100,5479
259,Tesla K20Xm,5428
260,GeForce GTX 760 Ti OEM,5427
261,Quadro P2000 with Max-Q Design,5392
262,GeForce GTX 950,5367
263,FirePro S10000,5315
264,GeForce GTX 670,5293
265,GRID M60-2Q,5291
266,Radeon HD 7970 / R9 280X,5248
267,GeForce GTX 1050 3GB,5223
268,Radeon HD 8990,5214
269,FirePro W7100,5175
270,GeForce GTX 760 Ti,5166
271,Q12U-1,5164
272,Radeon R9 M295X,5150
273,Radeon R9 M395,5141
274,Radeon Pro Vega 20,5117
275,Ryzen 9 PRO 6950HS with Radeon Graphics,5068
276,GeForce GTX 1050,5066
277,FirePro S9000,5059
278,Ryzen 7 6800HS Creator Edition,4994
279,EIZO Quadro MED-XN51LP,4947
280,Barco MXRT 7600,4944
281,GeForce GTX 1630,4927
282,Radeon R9 270X,4922
283,FirePro S9050,4901
284,Ryzen 7 PRO 6850U with Radeon Graphics,4890
285,T550 Laptop GPU,4835
286,Ryzen 9 5900HS with Radeon Graphics,4824
287,Radeon Ryzen 7 4800H,4786
288,GeForce GTX 760,4776
289,Radeon R9 M395X,4775
290,Radeon HD 7950 / R9 280,4765
291,Ryzen 7 6800U with Radeon Graphics,4750
292,Radeon Sky 500,4736
293,Ryzen 7 PRO 6860Z with Radeon Graphics,4729
294,GRID P40-24Q,4728
295,Radeon R9 370,4722
296,Radeon Pro Vega 16,4683
297,GRID M60-1Q,4680
298,Radeon HD 7870,4667
299,Radeon RX 5500M,4639
300,B8DKMDAP,4557
301,Radeon Pro 465,4538
302,GeForce MX550,4537
303,GeForce GTX 580,4518
304,Radeon R7 370,4497
305,Radeon HD 7870 XT,4470
306,GeForce GTX 1050 (Mobile),4462
307,GRID M60-1B,4457
308,Citrix Indirect Display Adapter,4447
309,Quadro P1000,4440
310,GRID P6-4Q,4429
311,GeForce GTX 660 Ti,4369
312,FirePro W7000 Adapter,4340
313,Barco MXRT 7500,4319
314,Quadro K4200,4316
315,FirePro W7000,4312
316,Quadro M2200,4310
317,Radeon R9 270,4306
318,GeForce GTX 775M,4291
319,GRID P40-2Q,4288
320,GeForce GTX 680MX,4271
321,Radeon R9 270 / R7 370,4260
322,Ryzen 7 6800H with Radeon Graphics,4198
323,Intel Arc A380,4177
324,FirePro S7000,4166
325,GRID V100D-8Q,4156
326,Radeon RX 460,4122
327,GeForce GTX 480,4109
328,FirePro W8000,4096
329,Radeon HD 7800-serie,4029
330,GRID P6-2Q,4001
331,GeForce GTX 660,3995
332,Quadro K5000,3948
333,Quadro M2000,3933
334,GeForce GTX 750 Ti,3911
335,GeForce GTX 570,3907
336,Tesla K20m,3895
337,GeForce GTX 880M,3884
338,GRID M60-8Q,3884
339,Radeon HD 8970M,3876
340,GeForce GTX 1050 with Max-Q Design,3867
341,Radeon RX 5300M,3854
342,GRID P100-8Q,3841
343,Radeon HD 7850,3829
344,P106-100,3802
345,GeForce GTX 780M,3801
346,GeForce GTX 965M,3787
347,Radeon HD 7970M,3774
348,Tesla K40c,3756
349,Ryzen 7 PRO 6850HS with Radeon Graphics,3736
350,Radeon Pro WX 4100,3730
351,Ryzen 5 PRO 6650H with Radeon Graphics,3727
352,GeForce MX450,3718
353,Radeon Pro 560X,3678
354,Ryzen 5 6600H with Radeon Graphics,3674
355,T400,3651
356,Ryzen 5 PRO 6650U with Radeon Graphics,3644
357,T500,3626
358,Quadro P620,3624
359,T400 4GB,3617
360,Radeon RX 560,3602
361,Radeon RX Vega Ryzen 7 5700G,3584
362,Quadro K2200M,3570
363,GeForce GTX 680M KY_Bullet Edition,3569
364,GRID M6-8Q,3568
365,Quadro K2200,3540
366,Quadro M2000M,3527
367,Tesla C2050,3515
368,Quadro 7000,3505
369,Tesla M10,3490
370,Radeon Pro 560,3475
371,Radeon Pro 460,3453
372,Tesla C2050 / C2070,3428
373,Ryzen 5 6600U with Radeon Graphics,3418
374,GeForce GTX 960M,3405
375,Radeon R9 M470X,3400
376,GRID K520,3399
377,Radeon RX Vega M GL,3391
378,GeForce GTX 870M,3381
379,GeForce GTX 750,3381
380,Radeon HD8970M,3369
381,Radeon E8870PCIe,3368
382,GRID P40-2B,3354
383,GRID M10-1Q,3351
384,GeForce GTX 590,3339
385,Quadro M1200,3320
386,GeForce GTX 650 Ti BOOST,3308
387,Radeon R9 M290X,3280
388,Quadro P600,3254
389,GeForce 770M,3246
390,NVS 310,3242
391,GRID M10-4Q,3224
392,Quadro K5100M,3222
393,Radeon R9 M485X,3204
394,GRID M60-4Q,3189
395,Radeon R9 260,3182
396,Radeon RX 560X,3181
397,GeForce GTX 680M,3167
398,RadeonT RX 5500M,3166
399,FirePro V7000,3162
400,FirePro W7170M,3162
401,Radeon Pro 555,3141
402,Radeon R7 260X,3137
403,Tesla C2075,3118
404,Radeon RX Vega Ryzen 5 5600G,3116
405,Radeon Pro 455,3113
406,GeForce GTX 470,3110
407,Tesla C2070,3101
408,Intel G35 Express,3090
409,Radeon HD 7790,3090
410,Radeon R7 360,3045
411,GeForce GTX 560 Ti,3036
412,Radeon R9 360,3032
413,GeForce GTX 860M,3022
414,Radeon R9 M390X,3021
415,Radeon HD 6990,3013
416,FirePro W5000,2999
417,Radeon Ryzen 7 5700GE,2964
418,FirePro W5100,2957
419,GRID K260Q,2949
420,Quadro M1000M,2942
421,Radeon Ryzen 9 5900HX,2924
422,Radeon R9 M380,2904
423,Radeon R7 260,2892
424,Ryzen 7 PRO 4700G with Radeon Graphics,2880
425,Radeon Pro V340 MxGPU,2853
426,GeForce MX350,2850
427,Quadro K1200,2842
428,GRID K280Q,2840
429,Radeon HD 6970,2828
430,FirePro 3D V9800,2812
431,GeForce GTX 770M,2800
432,FirePro W4300,2799
433,Ryzen 7 5800H with Radeon Graphics,2798
434,Radeon Ryzen 7 5700G,2788
435,Quadro M620,2784
436,Ryzen 9 5900HX with Radeon Graphics,2782
437,Radeon Ryzen 9 5900H,2755
438,Intel Iris Xe,2742
439,Quadro K5000M,2739
440,GRID K2,2737
441,FirePro S7150,2727
442,FirePro V9800,2727
443,Radeon Pro 450,2723
444,Ryzen 7 5700G with Radeon Graphics,2718
445,Ryzen 9 4900H with Radeon Graphics,2714
446,GeForce GTX 560,2709
447,Radeon RX 550,2705
448,Barco MXRT 5500,2702
449,Quadro K4000,2700
450,Quadro 6000,2699
451,GeForce GTX 465,2684
452,Ryzen 7 Pro 4750G with Radeon Graphics,2682
453,Ryzen 7 5700GE with Radeon Graphics,2675
454,Quadro K4100M,2670
455,Radeon Ryzen 7 5800H,2669
456,FirePro M6100 FireGL V,2656
457,Ryzen 5 5600G with Radeon Graphics,2654
458,FirePro R5000,2647
459,Radeon HD 6950,2641
460,MONSTER GeForce GTX 675M,2637
461,Ryzen 7 PRO 5750GE with Radeon Graphics,2627
462,Radeon Ryzen 7 PRO 5750GE,2620
463,Radeon Ryzen 9 4900H,2613
464,Radeon Pro WX 3100,2609
465,GRID M10-8Q,2606
466,Radeon Ryzen 7 PRO 4750G,2605
467,Ryzen 5 5600GE with Radeon Graphics,2602
468,GeForce GTX 950M,2599
469,Radeon Ryzen 5 4600H,2598
470,Ryzen 7 PRO 5750G with Radeon Graphics,2591
471,Intel UHD Graphics 770,2588
472,Radeon Ryzen 7 4700GE,2579
473,GeForce GTX 850M,2565
474,Radeon Ryzen 7 4700G,2564
475,Radeon Ryzen 5 5600G,2552
476,Ryzen 7 PRO 4750GE with Radeon Graphics,2550
477,Custom GPU 0405,2546
478,GRID K240Q,2541
479,Radeon Pro Ryzen 5 PRO 5650U,2540
480,GeForce GTX 650 Ti,2540
481,Radeon HD 6850 X2,2534
482,Ryzen 9 5980HS with Radeon Graphics,2534
483,GeForce GT 1030,2529
484,FireStream 9370,2528
485,N18E-Q1,2525
486,Ryzen 5 PRO 5650G with Radeon Graphics,2522
487,GeForce MX330,2518
488,Radeon Ryzen 5 5600H,2502
489,GeForce GTX 950A,2499
490,GeForce MX250,2499
491,Ryzen 7 4700GE with Radeon Graphics,2496
492,Radeon Ryzen 3 PRO 5350GE,2480
493,Radeon Pro WX 3200,2473
494,Ryzen 5 PRO 5650GE with Radeon Graphics,2471
495,Barco MXRT 5600,2466
496,Ryzen 7 PRO 5850U with Radeon Graphics,2450
497,Radeon HD 8950,2444
498,FirePro 3D V8800,2438
499,GRID M10-2B,2417
500,Intel UHD Graphics P630,2416
501,GeForce GTX 960A,2411
502,Ryzen 7 5800U with Radeon Graphics,2410
503,Ryzen 3 4300GE with Radeon Graphics,2402
504,Radeon RX Vega 11 PRD,2402
505,Ryzen 5 Pro 4650G with Radeon Graphics,2395
506,Ryzen 5 5600H with Radeon Graphics,2387
507,Ryzen 3 5300GE with Radeon Graphics,2386
508,Radeon Ryzen 5 PRO 5650GE,2383
509,Radeon RX 550X,2366
510,GeForce GTX 485M,2360
511,Radeon Ryzen 5 PRO 4650G,2359
512,Ryzen 7 4800U with Radeon Graphics,2344
513,Ryzen 3 PRO 5350G with Radeon Graphics,2341
514,Radeon Pro Ryzen 7 PRO 5850U,2341
515,Ryzen 3 PRO 5350GE with Radeon Graphics,2341
516,GeForce GTX 675MX,2338
517,Radeon Ryzen 7 5800U,2338
518,Radeon Ryzen 3 4300GE,2314
519,GRID M10-1B,2310
520,Ryzen 5 PRO 4400G with Radeon Graphics,2306
521,FirePro V7900,2305
522,Radeon Ryzen 7 PRO 5750G,2303
523,GeForce MX150,2296
524,GeForce GTX 460,2289
525,Radeon Ryzen 7 Microsoft Surface Edition,2289
526,Radeon R9 M470,2288
527,Radeon Ryzen 7 4800U,2280
528,Quadro K3100M,2276
529,Radeon HD 6970M,2270
530,Radeon R7 250X,2269
531,Radeon HD 5870,2267
532,Ryzen 7 5700U with Radeon Graphics,2262
533,Quadro K620,2245
534,Radeon HD 5970,2243
535,Ryzen 3 5300G with Radeon Graphics,2241
536,Radeon Ryzen 7 PRO 5850U,2235
537,FirePro V8800,2223
538,GRID P100-1B,2223
539,Radeon HD 6870,2215
540,Radeon Pro WX 4150,2212
541,Ryzen 5 PRO 5650U with Radeon Graphics,2199
542,Radeon Ryzen 3 PRO 4350G,2197
543,Radeon Ryzen 7 PRO 4750GE,2193
544,Radeon HD 7770,2188
545,Ryzen 7 4700G with Radeon Graphics,2187
546,RadeonT R7 450,2185
547,Ryzen 3 PRO 4350GE with Radeon Graphics,2181
548,GeForce GTX 745,2175
549,Radeon Ryzen 5 4600G,2175
550,Intel Iris Pro P580,2169
551,Radeon Ryzen 5 PRO 5650G,2165
552,Ryzen 3 Pro 4350G with Radeon Graphics,2164
553,Ryzen 7 Extreme Edition,2162
554,Ryzen 5 5600U with Radeon Graphics,2154
555,Radeon Ryzen 7 4850U Mobile,2138
556,Radeon RX Vega 11,2125
557,Quadro M600M,2114
558,Ryzen 7 4800H with Radeon Graphics,2113
559,Ryzen 5 5560U with Radeon Graphics,2109
560,Radeon TM R9 A360,2105
561,FirePro M5100,2103
562,Radeon Ryzen 5 Microsoft Surface Edition,2102
563,Quadro P520,2087
564,GeForce GTX 580M,2074
565,GRID M6-1Q,2069
566,Ryzen 5 4600G with Radeon Graphics,2062
567,Quadro 5000M,2060
568,GeForce GTX 480M,2051
569,Radeon Ryzen 7 4700U,2035
570,Ryzen 7 4700U with Radeon Graphics,2034
571,FirePro V7800,2034
572,Ryzen 7 PRO 4750U with Radeon Graphics,2030
573,Radeon R9 350,2027
574,Radeon Ryzen 7 PRO 4750U,2026
575,Radeon R9 M385,2018
576,Ryzen 5 5500U with Radeon Graphics,2012
577,Radeon Pro W5500M,2010
578,Radeon Pro,2010
579,Quadro K4000M,2009
580,Ryzen 5 PRO 4500U with Radeon Graphics,2008
581,GeForce 945M,2008
582,GeForce GTX 560 SE,2006
